Date,Gold Price,Tonnes,North_America,Europe,Asia,Other
2015-06-30,1171.0,1719.26418674,1008.0951996099999,631.58271042,40.61908351,38.9671932
2015-07-31,1098.4,1646.31280401,962.8736809600001,604.7412494899999,40.84161666,37.85625689999999
2015-08-31,1135.0,1652.93983839,970.8876157400001,602.57472289,43.31459759,36.162902169999995
2015-09-30,1114.0,1654.06837319,974.0048392900002,596.0781757899999,43.08811341999999,40.897244689999994
2015-10-30,1142.35,1663.24956401,979.53153899,599.4935398299999,42.70617590999999,41.51830927999999
2015-11-30,1061.9,1615.2645216,938.5179447699999,591.5872300299999,44.19205603,40.96729077
2015-12-31,1062.25,1587.92277859,918.82152057,581.61892543,46.849655739999996,40.632676849999996
2016-01-29,1111.8,1643.79300223,958.93290302,596.4756230300001,47.918170739999994,40.46630544
2016-02-29,1234.9,1851.77025826,1090.03162984,667.7337572,53.612654580000005,40.39221664
2016-03-31,1237.0,1931.98720644,1128.0563355499999,699.4742788600001,59.8104482,44.646143829999986
2016-04-29,1285.65,1939.26666148,1115.93888228,719.0061318200001,58.64826295,45.67338443
2016-05-31,1212.1,2036.59793854,1190.98020895,736.57747712,62.39549091,46.644761559999985
2016-06-30,1320.75,2169.1155536,1284.12739162,772.8075667900001,64.83381928,47.346775910000005
2016-07-29,1342.0,2249.41908538,1304.92083968,820.1884469399998,74.34616392,49.96363484
2016-08-31,1309.25,2275.0610983,1297.06135426,851.5678978999999,74.30691929999999,52.12492684
2016-09-30,1322.5,2316.37638945,1303.38867935,886.8656351999998,75.08483929000002,51.03723560999999
2016-10-31,1272.0,2340.33220929,1303.39422604,904.6707374199997,81.05740807000001,51.209837760000006
2016-11-30,1178.1,2224.13811615,1215.48527977,881.51377295,79.93882257000001,47.20024086
2016-12-30,1159.1,2131.0054891,1145.89267455,852.3951412700001,87.00516957,45.71250371
2017-01-31,1212.8,2149.79394649,1127.6626206800001,889.19558126,87.50541876999999,45.43032578
2017-02-28,1255.6,2239.92103278,1171.62153029,931.94339964,87.42242467999999,48.93367817
2017-03-31,1244.85,2240.66186143,1160.6234250199998,950.5386695,80.25804212999999,49.24172477999999
2017-04-28,1266.45,2263.76531394,1185.7491003599998,953.4142511400001,75.15066108,49.451301359999995
2017-05-31,1266.2,2275.05112551,1178.62904358,975.1516102700001,72.65650855999999,48.61396309999999
2017-06-30,1242.25,2303.18292676,1191.22150207,985.3542045300001,77.62519741999999,48.98202274
2017-07-31,1267.55,2253.46071803,1130.67491773,997.28621851,77.79029341,47.70928838
2017-08-31,1311.75,2290.29163904,1162.39717919,1004.8131802300002,75.66129149,47.41998813
2017-09-29,1283.1,2335.44764469,1221.47587785,997.7440901300001,68.37514662,47.85253009
2017-10-31,1270.15,2337.76663944,1213.69279871,1008.2632380199999,68.68709233000001,47.12351037999999
2017-11-30,1280.2,2352.40888622,1208.47752394,1028.9813650799997,68.74883794,46.20115925999999
2017-12-29,1296.5,2401.72087082,1240.96214885,1032.70324177,82.96346999,45.09201021
2018-01-31,1345.05,2432.0880098,1263.6201999,1041.5994962799998,81.87726359,44.99105003
2018-02-28,1317.85,2424.4182242,1257.9633089800004,1033.14985816,88.9800675,44.32498956
2018-03-30,1323.85,2430.93099627,1277.66419342,1033.18756114,76.70369611,43.375545599999995
2018-04-30,1313.2,2496.96237382,1321.18400948,1054.56380522,78.84483875000001,42.369720369999996
2018-05-31,1305.35,2512.52930329,1291.54432056,1081.7141856300002,99.1853402,40.08545689999999
2018-06-29,1250.45,2460.88008531,1247.13054207,1082.0324530099997,93.64441068,38.072679550000004
2018-07-31,1220.95,2421.81014363,1222.07968126,1074.0627315799998,88.51992068,37.147810109999995
2018-08-31,1202.45,2381.97769904,1177.6979508,1078.8896333199998,89.73641981000002,35.65369511
2018-09-28,1187.25,2356.5656381,1171.58069025,1068.01421575,82.14791438,34.822817719999996
